amplitude_bin;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;35
22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;2.0;0.0;1.0;3.0;3.0;0.0;0.0;0.0
17;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;0.0;5.0;0.0;20.0;4.0;2.0;5.0;16.0;0.0;14.0;0.0
15;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
14;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;23.0;0.0;25.0;6.0;37.0;20.0;77.0;28.0;95.0;17.0;12.0;0.0
13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
12;0.0;0.0;0.0;0.0;0.0;1.0;5.0;6.0;45.0;2.0;64.0;6.0;75.0;78.0;95.0;54.0;87.0;62.0;8.0;0.0
11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;7.0;2.0;2.0;1.0;1.0;0.0;0.0;0.0
10;0.0;0.0;0.0;0.0;0.0;1.0;9.0;6.0;65.0;3.0;90.0;7.0;57.0;81.0;72.0;141.0;394.0;444.0;269.0;1.0
9;0.0;0.0;0.0;0.0;1.0;1.0;0.0;4.0;3.0;2.0;4.0;3.0;3.0;1.0;1.0;2.0;7.0;3.0;0.0;0.0
8;0.0;0.0;0.0;2.0;0.0;1.0;0.0;2.0;11.0;0.0;9.0;2.0;11.0;23.0;8.0;80.0;149.0;312.0;0.0;0.0
7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;0.0;3.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;6.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
