sample;t_index;node;node_clock;degree;C0;C1;C2;C3;C4;C5;C6;C7;;
K15_N36_amp15_idx0_seed666994022;270;15;4;15;0;1;1;4;5;0;4;0;;13
K15_N36_amp15_idx0_seed666994022;270;16;4;15;3;2;2;3;3;0;2;0;;8
K15_N36_amp15_idx0_seed666994022;270;20;4;15;2;0;2;5;4;0;2;0;;11
K15_N36_amp15_idx0_seed666994022;270;22;4;15;2;1;0;2;6;0;4;0;;12
K15_N36_amp15_idx0_seed666994022;270;23;4;15;2;0;1;3;5;0;4;0;;12
K15_N36_amp15_idx0_seed666994022;270;31;4;15;3;0;2;3;2;0;5;0;;10
K15_N36_amp15_idx0_seed666994022;270;4;6;15;0;0;3;3;7;0;2;0;;
K15_N36_amp15_idx0_seed666994022;270;8;6;15;3;1;1;2;5;0;3;0;;
K15_N36_amp15_idx0_seed666994022;270;18;6;15;3;1;2;1;5;0;3;0;;
K15_N36_amp15_idx0_seed666994022;270;25;6;15;2;0;2;3;4;0;4;0;;
K15_N36_amp15_idx0_seed666994022;270;28;6;15;2;1;0;3;7;0;2;0;;
K15_N36_amp15_idx0_seed666994022;270;33;6;15;3;0;3;2;5;0;2;0;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
sample;t_index;node;node_clock;degree;C0;C1;C2;C3;C4;C5;C6;C7;;
K15_N36_amp15_idx0_seed666994022;271;17;1;15;0;1;1;5;1;2;3;2;;
K15_N36_amp15_idx0_seed666994022;271;24;1;15;0;1;1;5;2;1;3;2;;
K15_N36_amp15_idx0_seed666994022;271;26;1;15;0;1;2;3;3;0;4;2;;
K15_N36_amp15_idx0_seed666994022;271;32;1;15;0;1;1;3;1;2;3;4;;
K15_N36_amp15_idx0_seed666994022;271;35;1;15;0;2;1;3;1;2;3;3;;
K15_N36_amp15_idx0_seed666994022;271;3;2;15;0;3;1;4;0;1;3;3;;
K15_N36_amp15_idx0_seed666994022;271;11;2;15;0;3;1;4;3;1;3;0;;
K15_N36_amp15_idx0_seed666994022;271;0;3;15;0;4;1;5;0;1;2;2;;
K15_N36_amp15_idx0_seed666994022;271;6;3;15;0;4;1;3;3;1;1;2;;
K15_N36_amp15_idx0_seed666994022;271;13;3;15;0;0;2;2;4;1;3;3;;
K15_N36_amp15_idx0_seed666994022;271;27;3;15;0;3;2;2;2;1;4;1;;
K15_N36_amp15_idx0_seed666994022;271;30;3;15;0;5;1;1;3;1;3;1;;
K15_N36_amp15_idx0_seed666994022;271;34;3;15;0;3;1;3;3;2;1;2;;
K15_N36_amp15_idx0_seed666994022;271;7;4;15;0;2;0;2;3;1;6;1;;
K15_N36_amp15_idx0_seed666994022;271;9;4;15;0;0;1;3;2;1;6;2;;
K15_N36_amp15_idx0_seed666994022;271;10;4;15;0;1;0;4;3;0;4;3;;
K15_N36_amp15_idx0_seed666994022;271;19;4;15;0;2;1;2;4;1;4;1;;
K15_N36_amp15_idx0_seed666994022;271;21;4;15;0;2;1;2;1;0;6;3;;
K15_N36_amp15_idx0_seed666994022;271;29;4;15;0;1;0;2;3;1;4;4;;
K15_N36_amp15_idx0_seed666994022;271;1;5;15;0;4;1;3;2;0;2;3;;
K15_N36_amp15_idx0_seed666994022;271;2;5;15;0;3;1;4;2;0;3;2;;
K15_N36_amp15_idx0_seed666994022;271;5;6;15;0;2;0;3;1;0;6;3;;
K15_N36_amp15_idx0_seed666994022;271;12;6;15;0;1;0;1;6;0;4;3;;
K15_N36_amp15_idx0_seed666994022;271;14;6;15;0;1;2;2;3;0;6;1;;
K15_N36_amp15_idx0_seed666994022;271;15;6;15;0;0;1;1;4;1;4;4;;
K15_N36_amp15_idx0_seed666994022;271;16;6;15;0;3;2;2;3;1;2;2;;
K15_N36_amp15_idx0_seed666994022;271;20;6;15;0;2;0;2;5;1;3;2;;
K15_N36_amp15_idx0_seed666994022;271;22;6;15;0;2;1;0;2;2;4;4;;
K15_N36_amp15_idx0_seed666994022;271;23;6;15;0;2;0;1;3;0;5;4;;
K15_N36_amp15_idx0_seed666994022;271;31;6;15;0;3;0;2;3;0;2;5;;
K15_N36_amp15_idx0_seed666994022;271;4;7;15;0;0;0;3;3;1;6;2;;
K15_N36_amp15_idx0_seed666994022;271;8;7;15;0;3;1;1;2;0;5;3;;
K15_N36_amp15_idx0_seed666994022;271;18;7;15;0;3;1;2;1;0;5;3;;
K15_N36_amp15_idx0_seed666994022;271;25;7;15;0;2;0;2;3;1;3;4;;
K15_N36_amp15_idx0_seed666994022;271;28;7;15;0;2;1;0;3;2;5;2;;
K15_N36_amp15_idx0_seed666994022;271;33;7;15;0;3;0;3;2;1;4;2;;
