sample;t_index;node;node_clock;degree;C0;C1;C2;C3;C4;C5;C6;C7
K15_N36_amp15_idx4_seed105536288;271;24;0;15;4;6;1;2;2;0;0;0
K15_N36_amp15_idx4_seed105536288;271;28;0;15;5;3;1;2;4;0;0;0
K15_N36_amp15_idx4_seed105536288;271;2;1;15;3;6;2;2;2;0;0;0
K15_N36_amp15_idx4_seed105536288;271;6;1;15;3;4;4;1;3;0;0;0
K15_N36_amp15_idx4_seed105536288;271;11;1;15;3;9;1;1;1;0;0;0
K15_N36_amp15_idx4_seed105536288;271;13;1;15;3;4;2;3;3;0;0;0
K15_N36_amp15_idx4_seed105536288;271;14;1;15;3;5;1;3;3;0;0;0
K15_N36_amp15_idx4_seed105536288;271;16;1;15;4;5;3;1;2;0;0;0
K15_N36_amp15_idx4_seed105536288;271;26;1;15;4;5;1;2;3;0;0;0
K15_N36_amp15_idx4_seed105536288;271;27;1;15;5;4;1;3;2;0;0;0
K15_N36_amp15_idx4_seed105536288;271;30;1;15;3;5;2;3;2;0;0;0
K15_N36_amp15_idx4_seed105536288;271;32;1;15;3;6;1;3;2;0;0;0
K15_N36_amp15_idx4_seed105536288;271;34;1;15;3;5;2;2;3;0;0;0
K15_N36_amp15_idx4_seed105536288;271;9;2;15;2;6;0;3;4;0;0;0
K15_N36_amp15_idx4_seed105536288;271;17;2;15;3;6;1;4;1;0;0;0
K15_N36_amp15_idx4_seed105536288;271;18;2;15;3;4;1;5;2;0;0;0
K15_N36_amp15_idx4_seed105536288;271;35;2;15;4;4;2;3;2;0;0;0
K15_N36_amp15_idx4_seed105536288;271;5;3;15;1;4;3;2;5;0;0;0
K15_N36_amp15_idx4_seed105536288;271;20;3;15;1;5;2;3;4;0;0;0
K15_N36_amp15_idx4_seed105536288;271;21;3;15;2;5;2;2;4;0;0;0
K15_N36_amp15_idx4_seed105536288;271;25;3;15;3;3;3;3;3;0;0;0
K15_N36_amp15_idx4_seed105536288;271;31;3;15;2;2;4;2;5;0;0;0
K15_N36_amp15_idx4_seed105536288;271;33;3;15;1;5;1;4;4;0;0;0
K15_N36_amp15_idx4_seed105536288;271;4;4;15;3;3;1;3;5;0;0;0
K15_N36_amp15_idx4_seed105536288;271;8;4;15;2;2;3;2;6;0;0;0
K15_N36_amp15_idx4_seed105536288;271;10;4;15;1;5;1;3;5;0;0;0
K15_N36_amp15_idx4_seed105536288;271;12;4;15;4;2;1;3;5;0;0;0
K15_N36_amp15_idx4_seed105536288;271;15;4;15;4;2;0;4;5;0;0;0
K15_N36_amp15_idx4_seed105536288;271;19;4;15;1;5;1;4;4;0;0;0
K15_N36_amp15_idx4_seed105536288;271;23;4;15;3;3;1;3;5;0;0;0
K15_N36_amp15_idx4_seed105536288;271;29;4;15;2;4;1;3;5;0;0;0
