sample;t_index;node;node_clock;degree;C0;C1;C2;C3;C4;C5;C6;C7
K15_N36_amp15_idx2_seed581220706;270;35;6;15;0;1;3;1;1;0;6;3
K15_N36_amp15_idx2_seed581220706;270;0;7;15;0;0;3;1;2;0;7;2
K15_N36_amp15_idx2_seed581220706;270;17;7;15;0;1;2;1;1;0;9;1
K15_N36_amp15_idx2_seed581220706;270;24;7;15;0;2;3;0;2;0;7;1


sample;t_index;node;node_clock;degree;C0;C1;C2;C3;C4;C5;C6;C7
K15_N36_amp15_idx2_seed581220706;271;0;0;15;2;0;0;3;1;0;2;7
K15_N36_amp15_idx2_seed581220706;271;17;0;15;1;0;1;2;1;0;1;9
K15_N36_amp15_idx2_seed581220706;271;24;0;15;1;0;2;3;0;0;2;7
K15_N36_amp15_idx2_seed581220706;271;8;2;15;2;0;2;6;2;0;1;2
K15_N36_amp15_idx2_seed581220706;271;15;2;15;0;0;2;6;1;0;2;4
K15_N36_amp15_idx2_seed581220706;271;23;2;15;1;0;2;6;2;0;4;0
K15_N36_amp15_idx2_seed581220706;271;7;3;15;1;0;2;4;4;0;1;3
K15_N36_amp15_idx2_seed581220706;271;12;3;15;1;0;2;4;6;0;2;0
K15_N36_amp15_idx2_seed581220706;271;13;3;15;1;0;2;3;4;0;2;3
K15_N36_amp15_idx2_seed581220706;271;18;3;15;0;0;2;5;1;0;4;3
K15_N36_amp15_idx2_seed581220706;271;21;3;15;2;0;2;5;2;0;2;2
K15_N36_amp15_idx2_seed581220706;271;25;3;15;0;0;2;4;4;0;1;4
K15_N36_amp15_idx2_seed581220706;271;28;3;15;1;0;2;6;1;0;1;4
K15_N36_amp15_idx2_seed581220706;271;29;3;15;0;0;2;4;3;0;3;3
K15_N36_amp15_idx2_seed581220706;271;31;3;15;2;0;2;3;4;0;2;2
K15_N36_amp15_idx2_seed581220706;271;9;4;15;0;0;0;5;3;0;3;4
K15_N36_amp15_idx2_seed581220706;271;10;4;15;0;0;2;5;2;0;3;3
K15_N36_amp15_idx2_seed581220706;271;14;4;15;0;0;2;4;2;0;4;3
K15_N36_amp15_idx2_seed581220706;271;19;4;15;0;0;1;4;2;0;4;4
K15_N36_amp15_idx2_seed581220706;271;22;4;15;0;0;0;6;2;0;5;2
K15_N36_amp15_idx2_seed581220706;271;33;4;15;2;0;0;5;1;0;5;2
K15_N36_amp15_idx2_seed581220706;271;4;6;15;1;0;3;2;4;0;1;4
K15_N36_amp15_idx2_seed581220706;271;5;6;15;1;0;2;3;4;0;2;3
K15_N36_amp15_idx2_seed581220706;271;11;6;15;1;0;0;2;4;0;2;6
K15_N36_amp15_idx2_seed581220706;271;20;6;15;1;0;1;3;5;0;2;3
K15_N36_amp15_idx2_seed581220706;271;26;6;15;1;0;0;5;4;0;2;3
K15_N36_amp15_idx2_seed581220706;271;32;6;15;0;0;1;3;3;0;3;5
K15_N36_amp15_idx2_seed581220706;271;1;7;15;2;0;1;3;2;0;2;5
K15_N36_amp15_idx2_seed581220706;271;2;7;15;2;0;0;3;3;0;3;4
K15_N36_amp15_idx2_seed581220706;271;3;7;15;2;0;2;3;1;0;2;5
K15_N36_amp15_idx2_seed581220706;271;6;7;15;3;0;0;3;2;0;3;4
K15_N36_amp15_idx2_seed581220706;271;16;7;15;2;0;1;3;2;0;2;5
K15_N36_amp15_idx2_seed581220706;271;27;7;15;3;0;1;2;1;0;4;4
K15_N36_amp15_idx2_seed581220706;271;30;7;15;3;0;0;2;3;0;3;4
K15_N36_amp15_idx2_seed581220706;271;34;7;15;3;0;0;2;3;0;4;3
K15_N36_amp15_idx2_seed581220706;271;35;7;15;3;0;1;3;1;0;1;6
