sample;t_index;node;node_clock;degree;C0;C1;C2;C3;C4;C5;C6;C7
K15_N36_amp15_idx5_seed561426388;271;24;3;15;0;0;4;3;3;0;1;4
K15_N36_amp15_idx5_seed561426388;271;29;3;15;0;0;3;3;3;0;2;4
K15_N36_amp15_idx5_seed561426388;271;13;4;15;0;0;0;7;1;0;3;4
K15_N36_amp15_idx5_seed561426388;271;20;4;15;0;0;1;5;2;0;4;3
K15_N36_amp15_idx5_seed561426388;271;27;4;15;0;0;2;6;1;0;4;2
K15_N36_amp15_idx5_seed561426388;271;31;4;15;0;0;3;4;0;0;4;4
K15_N36_amp15_idx5_seed561426388;271;34;4;15;0;0;2;6;2;0;4;1
K15_N36_amp15_idx5_seed561426388;271;1;6;15;0;0;2;4;2;0;3;4
K15_N36_amp15_idx5_seed561426388;271;4;6;15;0;0;2;4;2;0;2;5
K15_N36_amp15_idx5_seed561426388;271;14;6;15;0;0;3;4;2;0;0;6
K15_N36_amp15_idx5_seed561426388;271;17;6;15;0;0;4;3;3;0;2;3
K15_N36_amp15_idx5_seed561426388;271;18;6;15;0;0;3;1;3;0;1;7
K15_N36_amp15_idx5_seed561426388;271;32;6;15;0;0;2;3;3;0;3;4
K15_N36_amp15_idx5_seed561426388;271;33;6;15;0;0;2;3;4;0;3;3
K15_N36_amp15_idx5_seed561426388;271;5;7;15;0;0;3;0;3;0;5;4
K15_N36_amp15_idx5_seed561426388;271;8;7;15;0;0;1;4;2;0;4;4
K15_N36_amp15_idx5_seed561426388;271;12;7;15;0;0;2;5;0;0;2;6
K15_N36_amp15_idx5_seed561426388;271;15;7;15;0;0;2;3;2;0;2;6
K15_N36_amp15_idx5_seed561426388;271;21;7;15;0;0;3;2;2;0;3;5
K15_N36_amp15_idx5_seed561426388;271;22;7;15;0;0;1;4;1;0;5;4
K15_N36_amp15_idx5_seed561426388;271;23;7;15;0;0;0;3;2;0;4;6
K15_N36_amp15_idx5_seed561426388;271;25;7;15;0;0;2;2;2;0;4;5
K15_N36_amp15_idx5_seed561426388;271;28;7;15;0;0;1;5;0;0;3;6
